"kpi","lokasi","Area","Realisasi","insert_at","bulan"
"FFM-ENT-TTR Fulfillment Guarantee 3 jam HSI","reg5","DENPASAR",75.00,"2025-09-17",9
"FFM-ENT-TTR Fulfillment Guarantee 3 jam HSI","reg5","JEMBER",100.00,"2025-09-17",9
"FFM-ENT-TTR Fulfillment Guarantee 3 jam HSI","reg5","KEDIRI",0.00,"2025-09-17",9
"FFM-ENT-TTR Fulfillment Guarantee 3 jam HSI","reg5","MADIUN",100.00,"2025-09-17",9
"FFM-ENT-TTR Fulfillment Guarantee 3 jam HSI","reg5","MADURA",55.56,"2025-09-17",9
"FFM-ENT-TTR Fulfillment Guarantee 3 jam HSI","reg5","MALANG",100.00,"2025-09-17",9
"FFM-ENT-TTR Fulfillment Guarantee 3 jam HSI","reg5","NTB",50.00,"2025-09-17",9
"FFM-ENT-TTR Fulfillment Guarantee 3 jam HSI","reg5","NTT",60.00,"2025-09-17",9
"FFM-ENT-TTR Fulfillment Guarantee 3 jam HSI","reg5","PASURUAN",100.00,"2025-09-17",9
"FFM-ENT-TTR Fulfillment Guarantee 3 jam HSI","reg5","SIDOARJO",57.14,"2025-09-17",9
"FFM-ENT-TTR Fulfillment Guarantee 3 jam HSI","reg5","SINGARAJA",66.67,"2025-09-17",9
"FFM-ENT-TTR Fulfillment Guarantee 3 jam HSI","reg5","SURABAYA SELATAN",100.00,"2025-09-17",9
"FFM-ENT-TTR Fulfillment Guarantee 3 jam HSI","reg5","SURABAYA UTARA",61.54,"2025-09-17",9
"FFM-WHF-TTI Compliance","reg","REGIONAL 01",93.12,"2025-09-17",9
"FFM-WHF-TTI Compliance","reg","REGIONAL 02",97.83,"2025-09-17",9
"FFM-WHF-TTI Compliance","reg","REGIONAL 03",98.00,"2025-09-17",9
"FFM-WHF-TTI Compliance","reg","REGIONAL 04",94.61,"2025-09-17",9
"FFM-WHF-TTI Compliance","reg","REGIONAL 05",96.32,"2025-09-17",9
"FFM-WHF-TTI Compliance","reg","REGIONAL 06",94.19,"2025-09-17",9
"FFM-WHF-TTI Compliance","reg","REGIONAL 07",87.09,"2025-09-17",9
"FFM-WHF-TTI Compliance","reg4","KUDUS",94.92,"2025-09-17",9
"FFM-WHF-TTI Compliance","reg4","MAGELANG",94.15,"2025-09-17",9
"FFM-WHF-TTI Compliance","reg4","PEKALONGAN",93.35,"2025-09-17",9
"FFM-WHF-TTI Compliance","reg4","PURWOKERTO",94.61,"2025-09-17",9
"FFM-WHF-TTI Compliance","reg4","SEMARANG",96.00,"2025-09-17",9
"FFM-WHF-TTI Compliance","reg4","SOLO",94.66,"2025-09-17",9
"FFM-WHF-TTI Compliance","reg4","YOGYAKARTA",94.15,"2025-09-17",9
"FFM-WHF-TTI Compliance","reg5","DENPASAR",95.65,"2025-09-17",9
"FFM-WHF-TTI Compliance","reg5","JEMBER",99.50,"2025-09-17",9
"FFM-WHF-TTI Compliance","reg5","KEDIRI",97.72,"2025-09-17",9
"FFM-WHF-TTI Compliance","reg5","MADIUN",96.38,"2025-09-17",9
"FFM-WHF-TTI Compliance","reg5","MADURA",97.71,"2025-09-17",9
"FFM-WHF-TTI Compliance","reg5","MALANG",98.23,"2025-09-17",9
"FFM-WHF-TTI Compliance","reg5","NTB",91.69,"2025-09-17",9
"FFM-WHF-TTI Compliance","reg5","NTT",80.62,"2025-09-17",9
